,Acoustic Firmness Index,Atmospheric Pressure at Harvest (Pa),Bitterness Scale,Circumference (mm),Color Intensity (a.u.),Find Distance from Main Vulcano (km),Length (mm),Luminescence Intensity (a.u.),Magnetic orientation (degree),Odor index (a.u.),Seed Count,Skin Thickness (mm),Soil pH where Grown,Sugar Content (mg),Weight (mg),pH,Edible
16,24.7,102321.0,0.0,232.0895893251129,66.88,4.108616852507971,36.72437291713668,0.0012626199206966996,45.38907743535036,19.103238798715918,0.0,2.5,6.73,5844.0,100604.38259989923,5.830917895334135,0.0
17,24.1,110614.0,0.0,192.9387338796527,57.09,53.51767040805683,30.646141724200238,0.0005211866125843634,18.59909509564698,7.384223409512606,37.87385494472145,5.0,6.84,14661.0,49684.18259989924,4.92,1.0
18,36.4,101056.0,3.0,219.14156589521366,60.5,39.96552808190532,34.657840698664785,0.0008882159736099236,222.60324091550706,15.357804682810887,0.0,7.5,7.27,8353.0,81495.58259989924,5.520257710353831,0.0
19,15.2,105808.0,4.0,175.09605276666576,66.3,36.22042235211298,26.952654492304767,0.0006712430514104464,355.31230234222147,7.6111280633206,89.21392607874708,3.5,8.1,13430.0,34926.18259989925,5.1,1.0
20,24.3,97973.0,3.0,223.4851543875093,64.36,8.237745050292947,35.14777752662873,0.0008378205312976041,86.50350505637283,14.912577831117135,0.0,2.5,7.18,12261.0,86095.18259989924,4.54,0.0
21,27.5,101890.0,2.0,181.87637831859757,56.84,44.8409866100651,28.505309465744023,0.00044374093799066114,108.43638696390259,7.7525499463475445,0.0,4.5,6.27,9541.0,43931.18259989925,4.67,0.0
22,14.2,93988.0,0.0,205.4763053359008,62.65,106.27743077143943,32.39705115144242,0.00119536993337238,339.0099137997957,13.129670266873463,18.4187758090511,4.5,7.73,12642.0,71159.18259989924,4.95,1.0
23,13.3,112280.0,0.0,208.91156582959238,73.02,86.01023977859579,34.13260729269624,0.004471161959493855,154.81026534410302,15.14046270602118,17.533715140341577,3.5,7.46,11268.0,74284.18259989924,5.24,1.0
24,11.3,97689.0,7.0,226.34975142751557,86.26,33.56939876734864,35.31211896273816,0.002539266118464126,19.21737394180272,18.96040789200615,77.20633451673608,3.0,8.16,12738.0,84455.98259989923,3.5714508413073904,0.0
25,25.3,102300.0,4.0,190.52790874146558,60.61,24.900029072015577,30.71637433590899,,100.7156889200431,10.094516541814873,96.5836404578712,4.0,7.55,12719.0,54448.78259989925,3.400887540581632,0.0
26,22.9,107915.0,5.0,230.82916723901414,60.62,25.934604258322448,36.631516048034406,0.0005514078257670225,217.22276624853671,31.543147860251256,7.905672469026179,3.5,7.2,11113.0,100399.18259989924,5.569075280003783,0.0
27,15.8,97685.0,1.0,224.3602722945141,73.4,34.76713543029759,35.20422491174191,0.0021430316850107184,129.81846935629778,20.84633471695189,36.389115090561255,2.5,7.37,11174.0,95125.18259989924,3.8138716923789264,0.0
28,21.6,94809.0,4.0,196.80178827165267,63.08,27.981037488402798,31.21772249646697,0.0004946189176811265,238.10153275705323,4.974467242118332,49.5107915212547,5.5,6.62,15517.0,59735.18259989924,4.96,1.0
29,14.8,96363.0,0.0,189.8673187782611,58.6,59.810153972976565,30.054837438423025,0.008433502605283884,351.451870588279,6.615387989611748,55.96954538994335,2.0,7.39,13367.0,44973.18259989925,4.9,1.0
30,22.3,100506.0,3.0,215.7855693003551,59.34,11.815138920601902,35.02500271131775,0.0035480734807767115,3.6841637161904783,11.172566879448704,96.45962770047302,2.5,7.13,14184.0,85700.18259989924,4.84,1.0
31,19.4,92662.0,7.0,223.40859372912394,64.74,15.489530601992033,35.37303966403878,0.00029132537261662884,306.28678987657304,44.993380203927096,30.270758658496355,4.5,6.94,9363.0,91303.18259989924,4.79,0.0
32,25.8,109332.0,0.0,220.10780245635166,52.88,34.129234864277755,35.112044754969666,0.0019310431211237425,79.59375848585785,4.636103297928613,108.67390315160415,4.0,7.33,15023.0,82699.18259989924,4.9,1.0
33,22.4,108982.0,1.0,233.11190376800707,63.57,47.958062874202646,36.85249924122522,0.0020669924513131203,284.7822908324243,27.132898434075656,86.71003887853504,3.5,7.32,11954.0,107872.78259989925,3.4327621175361647,0.0
34,9.2,105298.0,2.0,166.3036822825501,67.89,37.10720978673178,26.921252421408244,0.003993527150100764,35.34856895439108,4.585647060068562,22.550129284368673,7.0,7.96,12394.0,40325.18259989925,5.09,1.0
35,32.9,102510.0,0.0,196.87823380688312,71.26,12.976083577046388,31.131547078959784,0.005405884383639628,19.834400736135755,5.183473403322109,1.996800845162074,3.5,7.91,9257.0,56258.18259989924,4.62,1.0
36,22.3,102039.0,3.0,187.7278979377364,67.08,93.71139442062103,29.910249511540563,0.0014415365669666856,209.39900588167495,2.9848477815905787,98.98839260514431,5.0,7.69,11427.0,55169.18259989924,4.93,1.0
37,15.0,104074.0,2.0,209.8062324596687,62.4,30.12772144090807,32.6961582768744,0.005911215398177723,227.46024552621265,6.299464486746546,90.76812730051596,4.5,7.37,15998.0,77911.18259989924,5.09,1.0
38,26.8,103758.0,0.0,212.18030811780883,59.62,14.512440835309622,33.742150030247494,0.0026267405704821036,77.50085949907768,3.529688816562381,10.250426282911338,2.5,7.8,12891.0,76783.18259989924,5.02,1.0
39,24.1,99457.0,1.0,196.36093952548862,59.66,7.085788917490501,30.78277804707306,0.0039002225441304183,53.01365836923799,9.79343873080827,27.243829771631702,5.0,7.63,14737.0,58834.18259989924,4.95,1.0
40,8.9,102739.0,5.0,207.66673319321484,67.54,42.18755562615476,32.7029467336262,0.003784907093207497,315.2072865406364,10.48215778941616,112.45089856389887,4.0,7.83,12192.0,67212.18259989924,5.11,1.0
41,19.5,99962.0,2.0,178.7054927995001,58.94,46.459472042701464,29.248456271393092,0.0032259472886299306,71.17997439363862,8.883959300201667,16.891028343954673,1.5,7.4,11092.0,56399.18259989924,4.91,1.0
42,26.8,96161.0,3.0,255.83631724582665,62.65,32.44749387424751,40.957221032389974,0.0011231031113091787,136.13557186574062,31.766389907643113,37.34546979759518,5.5,8.0,12129.0,132894.22259989922,4.0745458324665975,0.0
43,31.2,104412.0,0.0,236.14589280538368,70.66,68.35741491239179,37.498177327620915,0.004452428750784826,309.56074600596764,19.652231437020593,31.462308627095403,8.5,7.41,9183.0,101706.22259989922,3.747606693891324,0.0
44,27.8,100584.0,1.0,223.70333647760572,59.18,17.83868014388378,35.39672311867128,0.001780576017713306,86.6609635251235,16.952745016129033,0.0,1.5,7.05,10290.0,93126.70259989923,4.143348597688467,0.0
45,26.2,101729.0,4.0,210.4998179194195,59.1,13.377683961534519,32.95147154780089,0.003149273025193206,305.4248395512634,18.781611377887025,0.0,4.5,7.97,7980.0,64573.18259989925,3.5835492953220522,0.0
46,25.3,98823.0,0.0,194.41388572910205,46.06,78.50747323140673,30.627804170576088,0.0013387161522382765,252.03564075069522,13.153186536347189,73.1859150176624,6.0,7.35,16694.0,57062.18259989924,4.96,1.0
47,16.0,103447.0,2.0,184.25660990734136,60.27,50.317515909159944,29.263167017642907,0.001096521869764794,98.21437565300752,7.892939809264126,0.0,1.0,6.92,14706.0,40859.18259989925,4.96,1.0
48,30.4,102875.0,0.0,254.21771573388972,61.16,16.291301762196802,40.37166168276838,0.004262990524718266,328.141563221179,11.477207790489185,99.74811610212193,3.5,7.22,10592.0,134747.50259989925,4.07712070956356,1.0
49,21.6,107983.0,5.0,210.1483347412937,57.72,3.8393152212536172,34.32342728753339,0.0014391792375904693,324.8751809336938,8.025491732427664,72.54440403924758,5.0,7.18,15147.0,80194.18259989924,4.8,0.0
50,15.7,105900.0,0.0,180.5232825945969,59.23,19.505576159496087,28.76027442417714,0.002757509520357776,41.42336792046788,10.489931256586173,29.41790630507976,1.0,7.24,12110.0,50778.18259989924,4.83,1.0
51,18.4,109982.0,0.0,181.1426188619898,54.66,15.098701706473532,29.18674585120035,0.0029414118617442806,200.93616649135245,4.8147401390993645,83.06236550414235,4.0,7.83,11252.0,45272.18259989925,4.98,1.0
52,24.2,102641.0,0.0,226.30962664752664,65.0,20.606782229877062,35.61950608130408,0.00037285074736984124,57.58413852501417,5.826364179217635,0.0,5.0,7.66,11829.0,93464.38259989923,-3.760947275424529,0.0
53,26.9,93702.0,2.0,196.36241502353786,61.21,50.0387982229275,32.13109263439379,0.000949503385008806,195.42047070250544,14.316510338398313,108.48542696057106,2.5,6.3,11748.0,66806.38259989923,3.624997037527651,0.0
54,19.6,91593.0,4.0,243.56332003241985,67.22,102.1825881317947,39.16762031602908,0.0025139606403291746,249.97096676656975,16.49963527892046,61.512998948897604,5.0,7.06,11396.0,117551.02259989921,3.8705411308980855,0.0
55,12.6,94867.0,0.0,180.22852261697332,82.66,43.27665499309737,28.988857978834464,0.004200596569575251,184.57593498971607,9.051616803060458,1.3505974103976186,1.5,8.39,14700.0,48534.18259989924,5.13,1.0
56,19.2,99427.0,0.0,165.13367097523522,63.31,41.20024306150102,26.288306557566578,0.0027451714312046026,115.28044047786541,10.884735778657005,0.0,4.0,7.44,14898.0,43577.18259989925,5.13,1.0
57,21.3,100049.0,3.0,196.92423747814524,63.76,87.21009684033376,31.590017289404297,0.0004701103266538944,293.3855218044878,40.07839312641853,62.283912932264855,5.0,6.47,9332.0,63305.98259989924,5.574722000018045,0.0
58,24.1,100273.0,0.0,181.8088220869126,66.97,27.794681573411392,28.420644677772472,0.001328557291857775,86.52654794124835,7.545426908220446,74.7741709544721,4.5,7.85,10438.0,48918.18259989924,5.01,1.0
59,22.1,108533.0,0.0,227.3686042989052,53.94,51.27583278919483,35.75823665966262,0.0025484174935603136,196.29878405104043,28.71754871587511,4.813829418380578,5.5,6.52,13160.0,88224.18259989924,4.88,1.0
60,18.4,104291.0,1.0,152.91987961072604,68.94,45.00081898636439,24.833920418139538,0.0011627438700642498,353.21505347279475,2.766878265677799,85.41758258485753,2.0,6.99,11096.0,32352.18259989925,4.88,0.0
61,20.3,97557.0,1.0,170.41304513482146,64.41,31.856929062396958,27.755605241573114,0.0007689024727145485,227.2371517931526,15.600220726634138,0.0,2.0,6.8,12969.0,47538.18259989924,4.94,1.0
62,22.4,99771.0,4.0,189.2121053196661,61.91,18.311597125848543,29.678244146816482,0.0008456075808336671,133.70623634282475,7.874939260833826,0.0,1.0,7.58,13805.0,49626.18259989924,4.79,1.0
63,17.4,104456.0,0.0,220.4867518064939,68.45,34.34882852229696,35.006668634120025,0.0014884382910162022,183.55577623090613,25.342102788730912,73.37473820849068,3.5,6.39,13874.0,78351.18259989924,5.03,1.0
64,20.2,97258.0,0.0,215.7178446828237,74.71,42.38133963896402,33.69061625490521,0.004738447492356624,354.78410895363976,25.53879638755242,108.23643175725053,3.0,8.0,10949.0,74101.18259989924,5.03,1.0
65,18.2,97539.0,0.0,199.761651930155,64.15,26.31662278783389,31.772013234553025,0.00017022429449482844,148.91407910962164,13.967432270157422,12.393529385511094,5.0,7.34,12864.0,63932.382599899225,5.747784549054032,0.0
66,22.3,99245.0,1.0,273.03229738054983,69.05,92.84400163881674,42.50985822470553,0.0009132787771251383,175.272116300871,52.43658652573303,0.0,6.0,7.76,9352.0,152331.34259989922,3.964804136352056,0.0
67,16.7,102059.0,1.0,192.74900991561597,56.13,102.11453967063214,30.74943410166849,0.00449143568893458,213.11652517374023,13.363049545592888,91.54617564598044,1.0,7.39,16286.0,56961.18259989924,4.96,1.0
68,18.3,96017.0,3.0,184.142400594349,78.21,14.20756796527477,29.156848571151578,0.0017062519032234437,134.1267049084034,5.433385570594777,111.98433618091934,5.5,7.12,12466.0,51677.98259989924,3.9378915533414425,0.0
69,10.1,107175.0,0.0,172.12843310343243,67.68,48.55108378535185,27.698470591309544,0.001172507732096909,328.8928636654456,4.623838221576722,90.78716242260731,1.5,6.52,11424.0,47624.18259989924,5.12,1.0
70,29.5,103827.0,0.0,204.5800295094878,63.52,101.96694985281299,32.758846103731805,0.0008639471474214529,61.21228065348143,3.354534784402533,112.17676203377744,4.5,8.01,12460.0,76919.18259989924,4.99,1.0
71,19.0,94274.0,0.0,220.31829425072215,56.11,77.14466031477076,35.419534015272355,0.0059481054810640345,13.79833715122912,21.448664160277772,72.66739265657824,5.0,6.08,15590.0,81130.18259989924,5.06,1.0
72,15.0,110225.0,0.0,210.14498941220015,63.22,36.0849852803216,34.04252286388288,0.011494944036833685,172.80734423837416,20.46554451216008,0.0,4.0,6.71,13241.0,76180.18259989924,4.92,1.0
73,28.0,97137.0,3.0,212.43327715470298,69.45,106.56446563246371,34.134808725602085,0.0011337634469206635,345.4172014994109,4.466848799663765,0.0,4.0,6.9,11506.0,79029.58259989924,2.864711227280579,0.0
74,21.2,98665.0,3.0,258.6702280858965,50.7,42.520458992050614,40.82745454097229,0.003925263184404532,138.4401621571541,8.317026241771842,0.0,5.0,7.09,10577.0,134887.18259989924,4.4035501190468125,0.0
75,26.8,103420.0,3.0,216.769812797145,53.58,16.023748291671037,34.571839854817696,0.0006017423368147262,151.91529743570274,6.719146417910909,0.727333468867915,2.5,7.26,13313.0,81485.18259989924,4.95,1.0
76,21.8,102264.0,0.0,218.6409747984453,58.73,44.990260932140316,34.32976562437568,0.0004204379293030877,137.78702891122245,9.153813847814217,106.13928401233174,6.5,7.19,10353.0,74599.18259989924,4.99,0.0
77,22.1,106273.0,0.0,174.58176612022393,62.3,25.317826086385377,28.38443380635857,0.0012717864098990954,341.6555668204912,5.064641609204449,6.417868579524097,1.0,7.51,12235.0,52049.18259989924,5.07,1.0
78,21.7,97810.0,0.0,188.11012414939782,60.07,25.532187135990124,29.487776915963646,0.0008752019304891609,276.2604619824157,5.702100619990796,6.542775897137961,3.5,7.91,12158.0,51267.18259989924,4.83,1.0
79,15.5,111622.0,1.0,189.02427723106592,68.02,4.156996440056613,30.618165326304048,0.004297477264110058,103.88445410972486,6.87713862767645,97.0753807647729,5.0,8.29,11325.0,62226.18259989925,5.07,1.0
80,12.3,94002.0,0.0,171.39032544212597,65.98,47.36819067560651,27.255095177571228,0.006765846026435562,100.4390741744027,8.17209814049635,71.83404811161459,3.0,6.96,15590.0,50536.18259989924,5.03,1.0
81,28.3,96656.0,3.0,178.43921617314442,66.09,79.31547824767114,28.325196104203137,0.0016725532233576145,112.49602496261178,6.0178011879960405,76.41230395000035,5.0,7.58,7851.0,39567.18259989925,4.98,0.0
82,27.2,111055.0,0.0,207.39835562717272,60.76,32.75321209829999,33.30345303072548,0.004616706594141339,349.49849793289644,6.370666330352379,7.343297520625391,4.5,7.41,11646.0,62172.18259989925,4.87,1.0
83,25.8,99343.0,3.0,214.88586225397077,68.9,30.202398483961964,34.24779191915807,0.00025011952735049485,202.40414330550115,20.76469757102176,40.607492909811725,3.0,7.62,11373.0,77656.78259989925,5.281939231076421,0.0
84,25.0,97497.0,0.0,199.33648093789222,61.92,72.15173736444751,32.435155198770246,0.0001467950410204994,212.18167325963984,12.328840102257248,76.14255968158582,4.5,7.65,10035.0,68420.38259989923,5.629009561539868,0.0
85,15.5,103427.0,2.0,177.66826627376344,59.03,68.86965115459407,28.056455569461153,0.000676991468596953,263.9840205978912,12.149377799407219,0.0,4.5,7.55,12943.0,39233.18259989925,4.95,1.0
86,11.8,100706.0,0.0,182.55390160886296,59.51,32.251979937815065,29.224373883241014,0.0035364847236643558,309.3600996519822,10.873701048382332,49.98963349869264,2.0,7.08,15388.0,55166.18259989924,4.99,1.0
87,17.8,102455.0,4.0,229.5730248691257,49.89,84.5182432016432,37.01913266808575,0.00047279226264403324,240.87718541099798,12.229129610871103,95.58976087227889,1.0,5.75,11724.0,101834.38259989923,5.613590264110915,0.0
88,11.6,93544.0,5.0,165.42198118747814,69.57,24.28566937330136,27.19249509208547,0.001235106639281694,105.42359001667944,2.3555004677490223,106.06261234322282,3.5,7.78,12328.0,37948.18259989925,5.05,1.0
89,29.2,98481.0,4.0,249.07213641938498,69.39,35.14414035887656,39.3006004001845,0.004063513167447368,40.66631725783155,23.066226167274948,88.24148104688147,4.0,7.5,9634.0,113868.94259989922,4.485487343648405,0.0
90,17.9,102187.0,0.0,195.6233872574234,77.79,44.890152052763625,31.28191109559389,0.0013774299427421082,157.51223030568323,6.136333430689162,0.0,1.0,6.7,14651.0,67293.18259989924,5.17,1.0
91,23.9,103848.0,7.0,175.40995135366686,59.64,58.41453522054987,27.89164757859662,0.0004169382429691302,32.4884093615336,8.820519009598714,15.370728914976823,4.5,6.78,12293.0,35603.18259989925,4.9,0.0
92,11.4,102065.0,1.0,183.15020323826107,55.63,50.57118712681067,29.453442980337087,0.001407777223451976,119.14317181878435,57.19568680924052,18.90829895194708,2.5,7.5,13980.0,57524.18259989924,4.9,0.0
93,22.1,95711.0,0.0,176.89466625209212,65.11,50.18992377476732,28.23768551953018,0.0004121798214279042,183.47863885270561,5.291589833295227,12.217951322459342,5.0,6.48,14746.0,45910.18259989925,5.1,1.0
94,10.9,99810.0,2.0,172.32435450594986,70.71,42.91320848004449,27.306668662573927,0.0014351747347810771,169.79868951387738,7.646026857126934,5.687843441460291,3.5,7.99,12935.0,40956.18259989925,5.2,1.0
95,30.4,102949.0,3.0,202.38024224595873,62.27,92.62980901719361,32.41819596848221,0.0005543505844387129,105.07295010558111,17.69508795252739,95.01352271549122,3.0,6.84,10945.0,74402.38259989923,5.344747591550277,0.0
96,19.1,91610.0,0.0,184.59793988836734,62.6,11.23066717891356,28.911175994823278,0.004570313512172116,239.6999545422899,14.024717784756328,59.39974161839183,1.5,6.83,10379.0,43203.18259989925,4.91,1.0
97,27.0,103711.0,2.0,226.99958648708238,66.58,58.07437641541695,35.95012592286383,0.002537105248237926,316.7211824827696,9.783014651601695,29.016344691249813,5.5,7.96,11916.0,86919.58259989924,5.344091358573613,0.0
98,19.6,103768.0,5.0,235.13553204253773,62.44,34.899336955950076,37.30312704595375,0.002698806701299122,55.44771825767312,28.061129808463786,47.609997408393895,2.5,6.61,12326.0,104743.18259989924,4.236299827334965,0.0
99,17.3,106581.0,2.0,205.84181166632936,64.07,27.25031871230021,32.147496883486234,0.00170306145919777,150.0415757492084,11.480418406401627,74.6798115312454,3.0,7.58,11488.0,68915.98259989923,5.68499181463553,0.0
100,26.1,98555.0,0.0,218.92872999800494,67.67,60.578191844083044,34.67478073536088,0.0001047882290833128,281.70886182540283,18.166447945166237,37.40139624937964,7.0,8.2,10525.0,89973.58259989924,3.0893218597420153,0.0
101,24.3,110926.0,0.0,196.49401896060502,66.68,16.928435508628148,31.014560997679133,0.0014882307824002237,104.06145987630111,3.7303532005487914,97.8506330637953,3.5,7.74,16070.0,53171.18259989924,4.69,1.0
102,15.2,105577.0,1.0,205.46474990112225,71.4,28.38583920798024,32.523500319001016,0.000856982090882513,315.4014641054017,6.4235489419958585,90.26115997636334,2.5,7.42,13605.0,63201.18259989925,5.12,1.0
103,23.7,94818.0,2.0,264.41064769551133,59.5,20.470845438891608,41.677529946928175,0.0007680917410010259,332.07188475024486,44.01789690521222,102.721500270957,3.5,5.94,9429.0,144827.50259989925,4.143079486598326,0.0
104,152.425778134119,107141.0,0.0,242.36096588708483,72.8,51.538370039755435,38.999424141046106,0.0014045150758687588,284.7236307431568,37.721546847393356,0.0,4.0,7.96,10705.0,113728.78259989926,3.591481499934884,0.0
105,21.2,102727.0,5.0,218.44579003184563,58.37,50.67656707007428,34.15458802508195,0.00010337986502138376,39.93282287867857,2.583733909569421,0.0,4.5,6.86,8227.0,79207.18259989924,4.94,0.0
106,19.6,97022.0,3.0,192.91985862017162,58.36,45.2552744488432,30.477893702670144,0.00034730904495827963,2.418444837407643,22.304309728961158,111.7551869788727,5.5,6.75,12362.0,62313.582599899244,5.640358877402453,0.0
107,15.3,101515.0,0.0,167.7324720508875,65.92,18.53716514949058,26.723260225664195,0.0015306178840232038,186.77264065080783,8.369880380470518,63.87490436968052,4.0,7.76,13248.0,38311.18259989925,5.04,1.0
108,22.8,92165.0,0.0,182.84511760572937,56.56,14.424129834894453,28.438920931837224,0.005370920505841549,335.12283711363676,27.94823428880277,97.97553308877703,4.0,6.53,11958.0,41623.18259989925,5.02,1.0
109,36.8,108349.0,1.0,250.72606213326262,69.9,44.13025683964688,39.26194134811304,0.00017090262121735318,340.73445181663095,16.38814623008996,109.32952755016493,3.0,8.34,9163.0,118730.38259989923,3.181705587834518,0.0
110,25.5,103938.0,0.0,219.15118691735788,60.72,70.68591746427684,34.23773403115603,0.0032906316531060467,118.71160498869318,11.568355490705581,111.02900956861265,2.5,6.83,10909.0,81053.18259989924,4.94,1.0
111,22.9,97980.0,3.0,196.5712593514795,54.53,4.573444086782556,31.000788450751568,0.0004917555530216915,112.69124880983135,17.167925142553035,35.02328092554562,5.0,6.55,7553.0,60250.78259989925,5.75235524374236,0.0
112,24.8,105180.0,4.0,196.0738936677098,52.07,33.20470477436044,30.979499757113413,0.0006505383173276653,257.1528431059604,16.671085678945175,97.47302573362211,6.5,7.36,11695.0,60185.98259989924,5.5792986201031365,0.0
113,10.6,99413.0,2.0,227.73761216393035,75.84,42.68036839093046,34.68323138141637,0.005563161504585667,15.86042019686217,21.383790859540216,65.7876328993024,4.0,7.79,12946.0,75745.18259989924,5.06,1.0
114,16.1,101541.0,0.0,231.41963442613397,53.08,49.056501330403535,35.969871013994094,0.0022234682897659744,38.97153121919954,4.776435742241061,61.41406895769535,4.0,7.33,12402.0,88903.18259989924,4.75,1.0
115,7.4,83825.0,0.0,158.77157111714172,69.96,33.20489871326321,25.54198054670677,0.0036970818901392363,291.65277108386067,13.345690734541442,18.449944444126665,1.5,7.79,12485.0,36927.18259989925,5.06,1.0
116,21.8,96985.0,0.0,222.934176626978,60.37,16.80220109583555,35.41621070244191,0.002605924294375542,110.16062090037582,26.50239972531983,30.54082961269078,4.5,6.82,14217.0,84148.18259989924,4.81,1.0
117,19.0,103568.0,0.0,232.84169936806907,60.29,22.355849329937072,36.22045197844685,0.003699757502422719,173.19476119331986,14.731357270833733,5.897482588242081,3.0,7.71,13952.0,85519.18259989924,5.12,1.0
118,21.1,101219.0,0.0,211.36867702510077,66.0,72.13840567163848,34.07068387100912,0.0003799830673928121,249.98225612702663,9.752135072841854,47.017766726793354,4.0,6.61,16906.0,87104.18259989924,4.87,1.0
119,21.0,103961.0,3.0,163.6569230117787,68.31,40.37274042261943,26.075170095372886,0.005366583799998139,88.00862175705306,13.451173441585198,35.79935158495892,5.0,7.74,10272.0,37107.18259989925,5.05,1.0
120,18.8,100438.0,0.0,173.22410272214205,58.87,47.344754161941495,27.31527018894237,0.0011388571216667165,248.50499609700813,17.868715019079108,52.99744453772057,1.0,7.89,12265.0,43047.18259989925,5.0,1.0
121,21.2,95143.0,0.0,198.61779505392582,62.02,22.206002206492606,31.437287521692404,0.0027236108660746894,165.91120911292768,6.190094145247147,67.89223687136314,4.0,7.15,14496.0,59433.18259989924,4.86,1.0
122,19.5,93762.0,2.0,220.05713032343812,57.06,41.93717480447486,34.95359545755354,0.001750674447178377,318.1839281943933,110.02005182048978,0.0,2.0,7.07,16595.0,86237.98259989923,5.476464760693504,0.0
123,17.8,103593.0,0.0,167.7862401179767,76.33,46.266529512121934,26.748873034081072,0.0002900611739043528,259.240464514557,8.69452527953239,84.55618332681345,6.5,8.49,13023.0,38483.18259989925,5.06,1.0
124,19.9,103864.0,0.0,205.28567132023372,68.44,39.001268801520816,32.48290255086051,0.005873902309380148,147.7262983706077,22.106032686313714,0.0,4.5,6.75,12180.0,68616.18259989924,5.0,1.0
125,18.3,107368.0,1.0,209.45089901544728,62.64,49.71180306597639,33.61976335604687,0.000577233827709109,266.48176465516246,14.443117178072413,71.59436338607244,7.5,7.67,10615.0,74877.18259989924,5.04,1.0
126,19.9,101041.0,3.0,216.05708764106126,76.02,28.975216732739767,34.86098274627503,0.0003040043969961337,11.988920296921108,19.24961667729434,25.856304628033477,6.0,8.07,11863.0,87284.38259989923,5.747688344128697,0.0
127,12.8,107506.0,1.0,240.49555109104864,70.09,42.40670759939404,37.100381416235685,0.003591611781633581,174.17931533967828,82.60826100424576,52.31273135068632,3.5,7.59,13521.0,104838.22259989922,4.212180417712727,0.0
